SNo,Date,Symbol,Segment,EntryAt,Signal,Rate,QTY,TGT,SL,Cycle,ExitAt,Closure,ExitRate,Open,High,Low,Close,PP,PR,PS,NewPR,NewPS,LowWick,UpWick,Body,CandleColor,CandleType,SumBody,SMA21,SumClose,AlgoName,TSLFlag
3018,20-06-2023,SBILIFE,NSECM,13.56.03,BUY,1297.5,77,1308,1289.9,281,15.19.06,EXIT,1295.45,1297.25,1297.7,1297.05,1295.45,1295.36369,1305.506388,1285.220993,1308.00975,,,,,,,,,,Algo1.11,None
3019,20-06-2023,PAYTM,NSECM,10.02.00,SELL,874,116,865,872,,14.02.00,SL,,,,,,,,,,,,,,,,,,,Algo1.11,TRUE
3020,21-06-2023,TVSMOTOR,NSECM,09.26.04,SELL,1346.4,73,1338,1353.1,277,09.26.04,SL,,1352,1353.45,1352,1353.45,1346.4,,,,,0,0,1.45,R,Breakout,1.2967,932.0928611,926249.95,Algo2.11,
3021,21-06-2023,MUTHOOTFIN,NSECM,09.27.04,SELL,1201.2,82,1192.1,1207.2,286,09.27.04,SL,,1206,1208,1206,1208,1201.2,,,,,0,0,2,R,Breakout,1.38622,883.6568653,1048888.55,Algo2.11,
3022,21-06-2023,SBILIFE,NSECM,09.46.03,BUY,1302.7,77,1313.3,1295.1,28,11.00.03,SL,,1303.5,1303.9,1302.3,1295.55,1299.943678,1310.122237,1289.765119,1313.25187,,,,,,,,,,Algo1.1,None
3023,21-06-2023,AMBUJACEM,NSECM,11.13.02,SELL,450.3,224,444.8,455.2,211,11.13.02,TGT,,445.05,445.3,444.6,445,450.3,,,,,0.4,0.25,0.05,G,Indecisive,0.66151,2277.587477,12935373.45,Algo2.11,
3024,21-06-2023,HAVELLS,NSECM,10.43.04,SELL,1353.3,74,1342.3,1349.6,84,11.22.03,SL,,1353.85,1353.85,1353.1,1347.85,1355.646667,1366.26138,1345.031953,,1342.33827,,,,,,,,,Algo1.1,TRUE
3025,21-06-2023,BAJAJFINSV,NSECM,10.13.03,SELL,1524.2,66,1511.9,1520.1,57,11.32.04,SL,1519.65,1523.9,1524.8,1523.65,1521.4,1526.405952,1538.357711,1514.454194,,1511.85398,,,,,,,,,Algo1.11,TRUE
3026,21-06-2023,ICICIGI,NSECM,11.37.03,SELL,1301,77,1290.5,1297.5,141,13.32.03,SL,,1301.35,1301.4,1300.75,1297.05,1303.268452,1313.473044,1293.06386,,1290.4619,,,,,,,,,Algo1.11,TRUE
3027,21-06-2023,INDUSINDBK,NSECM,12.33.02,SELL,1292,77,1281.5,1288.5,197,14.43.02,SL,,1292.2,1292.7,1291.65,1288.55,1294.291667,1304.42597,1284.157363,,1281.5348,,,,,,,,,Algo1.11,TRUE
3028,21-06-2023,JINDALSTEL,NSECM,15.18.03,SELL,589.5,171,579.2,595.9,68,15.18.03,EXIT,583.6,583.65,583.7,583.3,583.6,589.5,,,,,0.3,0.05,0.05,G,Indecisive,0.53231,1103.125166,40313489.2,Algo2.11,
3029,21-06-2023,INFY,NSECM,11.38.03,SELL,1298,77,1287.5,1305.6,140,15.19.02,EXIT,1299.45,1298.3,1298.3,1297.55,1299.45,1300.360638,1310.542462,1290.178815,,1287.4862,,,,,,,,,Algo1.1,None
3030,21-06-2023,TATACONSUM,NSECM,13.02.03,SELL,860.3,116,847.1,869.8,224,15.19.02,EXIT,860.25,860.45,860.45,860.2,860.25,862.4746667,871.7893931,853.1599403,,847.13741,,,,,,,,,Algo1.1,None
3031,21-06-2023,AXISBANK,NSECM,12.34.03,SELL,966.2,103,951.4,976.8,196,15.19.02,EXIT,966.45,966.5,966.55,966.05,966.45,968.6352792,979.0965402,958.1740182,,951.41714,,,,,,,,,Algo1.1,None
3032,21-06-2023,M&M,NSECM,14.25.02,SELL,1375.1,73,1364,1383.1,309,15.19.02,EXIT,1373.65,1375.25,1375.25,1375,1373.65,1377.657143,1388.444198,1366.870087,,1363.96169,,,,,,,,,Algo1.11,None
3033,21-06-2023,ICICIBANK,NSECM,11.10.03,SELL,921.8,108,907.7,932,112,15.19.02,EXIT,925.1,922.65,922.65,921.55,925.1,923.9941003,933.9732366,914.014964,,907.69646,,,,,,,,,Algo1.1,None
3034,21-06-2023,BAJAJFINSV,NSECM,14.26.03,SELL,1519.9,66,1507.6,1528.8,308,15.19.02,EXIT,1519.65,1519.6,1520.3,1519.6,1519.65,1522.268662,1534.188026,1510.349299,,1507.58881,,,,,,,,,Algo1.1,None
3035,22-06-2023,HAVELLS,NSECM,09.44.03,BUY,1337.7,75,1348.5,1341.3,28,09.56.03,SL,,1337.8,1338,1337.4,1341.9,1335.327011,1345.782622,1324.871401,1348.53537,,,,,,,,,,Algo1.1,TRUE
